area,city,country,gps_lat,gps_long,lat,long,state,state_flag
Stearns County,Melrose,US,45.71,-94.78,45.67469000000001,-94.80752,Minnesota,Minnesota
Mulege,Bahia Asuncion,MX,24.39,-114.46,27.14231,-114.29582,Baja California Sur,None
Guadalupe y Calvo,Turuachi,MX,26.33,-106.7,26.13139,-106.70417,Chihuahua,None
Okaloosa County,Destin,US,30.36,-86.45,30.39353,-86.49578000000002,Florida,Florida
Worcester County,Ocean City,US,37.6,-73.47,38.3365,-75.08491,Maryland,Maryland
New London County,Preston City,US,41.55,-72.0,41.52899,-71.97395999999998,Connecticut,Connecticut
Clearwater County,Bagley,US,47.15,-95.46,47.52162,-95.39835,Minnesota,Minnesota
,Rio Lagartos,MX,24.32,-88.85,21.5967,-88.15773,Yucatan,None
Elko County,Wells,US,41.38,-115.49,41.11159,-114.96448999999998,Nevada,Nevada
Owyhee County,Murphy,US,42.2,-116.57,43.21822,-116.55234,Idaho,Idaho
Powder River County,Broadus,US,45.06,-105.34,45.44388,-105.40749,Montana,Montana
Union County,Elgin,US,45.95,-117.6,45.56486,-117.91743,Oregon,Oregon
San Patricio County,Portland,US,27.86,-97.36,27.87725,-97.32388,Texas,Texas
Nye County,Pahrump,US,36.68,-115.8,36.20829000000001,-115.98391,Nevada,Nevada
Pipestone County,Pipestone,US,44.05,-96.4,44.00053,-96.31753,Minnesota,Minnesota
Santa Barbara County,Lompoc,US,32.81,-120.92,34.63915,-120.45794,California,California
Knox County,Benjamin,US,33.66,-99.94,33.58398,-99.79231,Texas,Texas
Nipissing District,North Bay,CA,46.38,-80.05,46.3168,-79.46633,Ontario,None
Chenango County,Oxford,US,42.57,-75.72,42.44202,-75.59769,New York,New York
Nogales,La Mesa,MX,31.01,-111.21,31.15972,-110.97444,Sonora,None
Otero County,Boles Acres,US,32.61,-105.88,32.80703,-105.9861,New Mexico,New Mexico
Parmer County,Friona,US,34.58,-102.65,34.641729999999995,-102.7241,Texas,Texas
Rosebud County,Lame Deer,US,45.63,-107.0,45.62305,-106.6667,Montana,Montana
Galveston County,Galveston,US,28.09,-93.94,29.30135,-94.7977,Texas,Texas
La Paz County,Salome,US,33.79,-113.26,33.78114,-113.61465,Arizona,Arizona
Capitale-Nationale,Beaupre,CA,47.3,-71.04,47.04428,-70.89529,Quebec,None
Rockingham County,Broadway,US,38.54,-78.82,38.61317,-78.79890999999998,Virginia,Virginia
Pike County,Coal Run Village,US,37.49,-82.69,37.51316,-82.55849,Kentucky,Kentucky
,Lac du Bonnet,CA,50.28,-94.84,50.2536,-96.06116,Manitoba,None
Algoma,Hornepayne,CA,49.44,-84.88,49.21451,-84.77617,Ontario,None
,Esterhazy,CA,50.86,-102.28,50.65001,-102.08426,Saskatchewan,None
Newaygo County,Fremont,US,43.5,-86.01,43.46752,-85.94200000000002,Michigan,Michigan
Bonner County,Priest River,US,48.24,-116.91,48.18097,-116.91157,Idaho,Idaho
Harrison County,Waskom,US,32.45,-94.11,32.47876,-94.05963,Texas,Texas
Valley County,Glasgow,US,47.9,-107.1,48.19696,-106.63671,Montana,Montana
Valley County,Glasgow,US,48.62,-106.88,48.19696,-106.63671,Montana,Montana
Matamoros,Las Higuerillas,MX,24.78,-94.78,25.262220000000006,-97.43611,Tamaulipas,None
Sweetwater County,North Rock Springs,US,41.93,-109.43,41.64358,-109.26568,Wyoming,Wyoming
Sublette County,Pinedale,US,42.93,-110.21,42.86661,-109.86099,Wyoming,Wyoming
Gordon County,Calhoun,US,34.46,-84.84,34.502590000000005,-84.95105,Georgia,Georgia
Atchison County,Atchison,US,39.48,-95.02,39.56305,-95.12164,Kansas,Kansas
Los Angeles County,Avalon,US,28.24,-121.62,33.34281,-118.32785,California,California
Abitibi-Temiscamingue,Senneterre,CA,48.29,-76.78,48.39302,-77.23951,Quebec,None
Loudon County,Greenback,US,35.53,-84.08,35.66119000000001,-84.17214,Tennessee,Tennessee
Columbia County,Columbus,US,43.3,-89.06,43.33805,-89.01539,Wisconsin,Wisconsin
Martin County,Indiantown,US,27.02,-80.39,27.02728,-80.48561,Florida,Florida
Coconino County,Kaibito,US,36.76,-111.13,36.59722,-111.07431,Arizona,Arizona
Washington County,Weiser,US,44.66,-116.94,44.25100000000001,-116.96933,Idaho,Idaho
,Rio Lagartos,MX,25.05,-88.61,21.5967,-88.15773,Yucatan,None
Mesa County,Loma,US,39.5,-109.2,39.19581,-108.81316,Colorado,Colorado
Merced County,Le Grand,US,37.19,-120.25,37.22855,-120.24823,California,California
Marshall County,Cornersville,US,35.21,-86.86,35.36146,-86.83972,Tennessee,Tennessee
Campbell County,Mound City,US,45.71,-99.79,45.72527,-100.06845,South Dakota,South Dakota
Bas-Saint-Laurent,La Pocatiere,CA,47.0,-69.91,47.34836,-70.06186,Quebec,None
Sarpy County,Springfield,US,41.06,-96.05,41.08194,-96.13446,Nebraska,Nebraska
,Hamilton,BM,35.25,-67.69,32.2949,-64.78303000000001,Hamilton city,None
,Red Lake,CA,50.78,-94.87,51.01676,-93.83374,Ontario,None
Valley County,McCall,US,44.74,-116.0,44.91101,-116.09874,Idaho,Idaho
Lincoln County,Alamo,US,38.02,-115.73,37.36496,-115.16446,Nevada,Nevada
Worcester County,Ocean City,US,37.11,-72.56,38.3365,-75.08491,Maryland,Maryland
Mecklenburg County,South Hill,US,36.78,-78.24,36.72653,-78.12889,Virginia,Virginia
Carteret County,Harkers Island,US,34.19,-76.55,34.695159999999994,-76.55937,North Carolina,North Carolina
Moffat County,Craig,US,40.45,-107.49,40.51525,-107.54645,Colorado,Colorado
Carbon County,Red Lodge,US,44.8,-109.66,45.18578,-109.24682,Montana,Montana
Mulege,Bahia Asuncion,MX,26.1,-119.04,27.14231,-114.29582,Baja California Sur,None
Clark County,Summerlin South,US,36.47,-115.35,36.11708,-115.33001000000002,Nevada,Nevada
Los Angeles County,Avalon,US,31.49,-119.2,33.34281,-118.32785,California,California
Pierce County,Rugby,US,48.17,-99.71,48.36889,-99.99625,North Dakota,North Dakota
Buffalo County,Kearney,US,40.56,-99.2,40.69946,-99.08148,Nebraska,Nebraska
Nye County,Tonopah,US,38.38,-116.73,38.06716,-117.23008,Nevada,Nevada
,Tobermory,CA,44.63,-81.89,45.25007,-81.66646999999998,Ontario,None
Liberty County,Chester,US,49.09,-111.12,48.51054,-110.96747,Montana,Montana
Fulton County,Rochester,US,41.01,-86.15,41.06476,-86.21583000000003,Indiana,Indiana
Ballard County,La Center,US,37.1,-89.04,37.07672,-88.97368,Kentucky,Kentucky
,Hamilton,BM,34.93,-67.0,32.2949,-64.78303000000001,Hamilton city,None
Franklin County,Phillips,US,44.84,-70.3,44.82311,-70.33951,Maine,Maine
Mohave County,Willow Valley,US,34.94,-114.95,34.91195,-114.60663,Arizona,Arizona
Brunswick County,Saint James,US,33.97,-78.09,33.92934,-78.11638,North Carolina,North Carolina
Walton County,Miramar Beach,US,30.08,-86.37,30.374370000000006,-86.35856,Florida,Florida
Gaines County,Seagraves,US,33.02,-102.45,32.94427,-102.56491,Texas,Texas
Barnstable County,Chatham,US,41.94,-67.73,41.68206,-69.95974,Massachusetts,Massachusetts
Ensenada,Las Brisas,MX,30.35,-117.37,30.96056,-116.16443999999998,Baja California,None
Pasco County,Beacon Square,US,28.43,-83.98,28.20862,-82.75538,Florida,Florida
,Kamloops,CA,50.49,-120.16,50.66648,-120.3192,British Columbia,None
Mohave County,Dolan Springs,US,35.51,-114.4,35.59194,-114.27329,Arizona,Arizona
,Dryden,CA,49.31,-93.17,49.78334,-92.75032,Ontario,None
,Marsh Harbour,BS,29.89,-73.45,26.54124,-77.0636,Central Abaco,None
Lincoln County,Kemmerer,US,41.55,-110.55,41.79245,-110.53767,Wyoming,Wyoming
Saguache County,Saguache,US,38.07,-106.31,38.0875,-106.14197,Colorado,Colorado
Elko County,Carlin,US,41.5,-116.22,40.71381,-116.10397,Nevada,Nevada
Nicholas County,Richwood,US,38.19,-80.46,38.22484,-80.53314,West Virginia,West Virginia
Monterey County,Carmel-by-the-Sea,US,36.18,-122.34,36.55524000000001,-121.92329,California,California
Mulege,Bahia Asuncion,MX,27.66,-115.81,27.14231,-114.29582,Baja California Sur,None
Windham County,Newfane,US,42.99,-72.65,42.98564,-72.65593,Vermont,Vermont
Socorro County,Alamo,US,34.48,-108.06,34.42089,-107.51088,New Mexico,New Mexico
,El Sauzal,MX,31.45,-117.4,31.893290000000004,-116.69256,Baja California,None
Graham County,Bylas,US,33.05,-110.22,33.13428,-110.12004,Arizona,Arizona
Indiana County,Chevy Chase Heights,US,40.77,-79.26,40.63673,-79.1442,Pennsylvania,Pennsylvania
Navolato,Dautillos,MX,24.82,-108.29,24.72167,-107.97528,Sinaloa,None
Brunswick County,Southport,US,31.27,-77.2,33.92156,-78.02027,North Carolina,North Carolina
Vermilion County,Rossville,US,40.35,-87.6,40.3792,-87.66863000000002,Illinois,Illinois
Beadle County,Huron,US,44.26,-98.32,44.36332,-98.21426,South Dakota,South Dakota
Dare County,Buxton,US,33.68,-74.62,35.26768,-75.54236999999998,North Carolina,North Carolina
Washington County,Dewey,US,36.87,-95.78,36.79592,-95.93554,Oklahoma,Oklahoma
Bradford County,Canton,US,41.63,-76.95,41.65646,-76.85329,Pennsylvania,Pennsylvania
,Abraham's Bay,BS,26.15,-70.57,22.366670000000006,-72.96667,Mayaguana,None
Clark County,Bunkerville,US,36.55,-113.98,36.77303,-114.12802,Nevada,Nevada
Sublette County,Pinedale,US,43.26,-109.43,42.86661,-109.86099,Wyoming,Wyoming
Franklin County,Carrabelle,US,29.25,-84.47,29.85326,-84.66435,Florida,Florida
Rusk County,Henderson,US,32.03,-94.72,32.153220000000005,-94.79938,Texas,Texas
Custer County,Miles City,US,46.84,-106.23,46.40834,-105.84056,Montana,Montana
,Kirkland Lake,CA,48.49,-80.24,48.14461,-80.03766999999998,Ontario,None
Gulf County,Port Saint Joe,US,29.39,-85.35,29.81188,-85.30297,Florida,Florida
Roseau County,Warroad,US,49.59,-95.4,48.90527,-95.3144,Minnesota,Minnesota
Wheeler County,Fossil,US,44.81,-120.28,44.99819,-120.21614,Oregon,Oregon
,Hawkesbury,CA,45.57,-74.62,45.60009,-74.61595,Ontario,None
Coconino County,Williams,US,35.33,-112.31,35.24946,-112.191,Arizona,Arizona
Lake County,Two Harbors,US,46.91,-91.86,47.02271,-91.67073,Minnesota,Minnesota
Jefferson Parish,Grand Isle,US,27.79,-89.93,29.23662,-89.98729,Louisiana,Louisiana
Payette County,New Plymouth,US,44.05,-116.78,43.96989,-116.81904,Idaho,Idaho
,Guadalupe y Calvo,MX,26.04,-106.98,26.09117,-106.9626,Chihuahua,None
Colfax County,Cimarron,US,36.52,-104.94,36.51087,-104.91583,New Mexico,New Mexico
,Rossland,CA,49.18,-118.07,49.08313,-117.80224,British Columbia,None
,Abraham's Bay,BS,25.24,-70.52,22.366670000000006,-72.96667,Mayaguana,None
Caroline County,Ridgely,US,38.94,-75.86,38.94789,-75.88438000000002,Maryland,Maryland
Ferry County,Republic,US,48.59,-118.76,48.64822,-118.73781,Washington,Washington
,Lac du Bonnet,CA,50.54,-95.29,50.2536,-96.06116,Manitoba,None
,Governor's Harbour,BS,26.43,-74.52,25.16667,-76.23333000000002,Central Eleuthera,None
,Oxbow,CA,49.03,-101.87,49.23335,-102.1676,Saskatchewan,None
Ashland County,Ashland,US,46.57,-91.21,46.59244,-90.8838,Wisconsin,Wisconsin
Pima County,Ajo,US,32.49,-112.46,32.37172,-112.86071,Arizona,Arizona
Monroe County,Marathon,US,24.94,-81.19,24.71375,-81.09035,Florida,Florida
Nord-du-Quebec,Lebel-sur-Quevillon,CA,49.36,-76.83,49.05018,-76.98273,Quebec,None
Santa Rosa County,Navarre,US,30.4,-86.86,30.40159,-86.86357,Florida,Florida
Stevens County,Chewelah,US,48.07,-117.72,48.27629,-117.71552,Washington,Washington
Edwards County,Kinsley,US,37.9,-99.46,37.92307,-99.40984,Kansas,Kansas
,Governor's Harbour,BS,27.08,-74.16,25.16667,-76.23333000000002,Central Eleuthera,None
,Fernie,CA,49.6,-115.02,49.49996,-115.06871,British Columbia,None
,Saint George,BM,37.51,-66.08,32.38167,-64.67806,Saint George,None
Saint Mary Parish,Patterson,US,28.5,-91.74,29.69326,-91.30205,Louisiana,Louisiana
Mulege,Bahia Asuncion,MX,25.22,-116.6,27.14231,-114.29582,Baja California Sur,None
Ensenada,Las Brisas,MX,29.12,-120.09,30.96056,-116.16443999999998,Baja California,None
Santa Barbara County,Lompoc,US,31.76,-121.39,34.63915,-120.45794,California,California
Suffolk County,Amagansett,US,38.21,-71.22,40.97371,-72.14369,New York,New York
,Hearst,CA,49.46,-83.94,49.68351,-83.66654,Ontario,None
Nantucket County,Nantucket,US,36.06,-69.69,41.28346,-70.09946,Massachusetts,Massachusetts
,Hamilton,BM,35.88,-68.35,32.2949,-64.78303000000001,Hamilton city,None
Jefferson Parish,Grand Isle,US,28.64,-90.35,29.23662,-89.98729,Louisiana,Louisiana
,Bahia Honda,CU,24.38,-83.54,22.90361,-83.15916999999997,Artemisa,None
Reagan County,Big Lake,US,31.49,-101.6,31.191540000000003,-101.46039,Texas,Texas
Hardin County,Savannah,US,35.35,-88.23,35.2248,-88.2492,Tennessee,Tennessee
Lyman County,Kennebec,US,44.01,-99.7,43.9036,-99.86178,South Dakota,South Dakota
Franklin County,Ferrum,US,36.92,-80.08,36.92292,-80.01337,Virginia,Virginia
Yavapai County,Bagdad,US,34.68,-113.58,34.5757,-113.17626,Arizona,Arizona
Volusia County,Ormond-by-the-Sea,US,29.34,-81.15,29.34914,-81.06645,Florida,Florida
Lake County,Mentor-on-the-Lake,US,42.24,-81.65,41.70504,-81.36039,Ohio,Ohio
Manatee County,Bradenton Beach,US,26.03,-85.54,27.46698,-82.70399,Florida,Florida
,Iroquois Falls,CA,48.8,-80.78,48.76688,-80.68307,Ontario,None
Huntington County,Warren,US,40.78,-85.47,40.68282,-85.4272,Indiana,Indiana
Lincoln County,Alamo,US,37.43,-114.84,37.36496,-115.16446,Nevada,Nevada
Cedar County,Mechanicsville,US,41.94,-91.21,41.90446,-91.25461,Iowa,Iowa
Lincoln County,Brookhaven,US,31.56,-90.36,31.57906,-90.44065,Mississippi,Mississippi
Washington County,Banks,US,45.57,-123.14,45.61872,-123.11428,Oregon,Oregon
Ensenada,Luis Rodriguez (El Vergel),MX,28.79,-118.71,30.40722,-115.88722,Baja California,None
Kenedy County,Sarita,US,27.12,-97.73,27.22171,-97.78916,Texas,Texas
Terrebonne Parish,Dulac,US,26.44,-92.21,29.38883,-90.71398,Louisiana,Louisiana
Fillmore County,Geneva,US,40.42,-97.42,40.52695,-97.59588,Nebraska,Nebraska
,Marsh Harbour,BS,29.11,-75.01,26.54124,-77.0636,Central Abaco,None
Bryan County,Durant,US,34.1,-96.3,33.993990000000004,-96.37082,Oklahoma,Oklahoma
,Ejido El Largo,MX,29.64,-108.36,29.68333,-108.26667,Chihuahua,None
Elko County,Elko,US,41.04,-115.54,40.83242,-115.76312,Nevada,Nevada
Morgan County,Fort Morgan,US,40.62,-103.74,40.25026,-103.79995,Colorado,Colorado
Fresno County,Coalinga,US,36.07,-120.32,36.13968,-120.36015,California,California
,Neebing,CA,47.51,-89.57,48.1668,-89.41683,Ontario,None
New Hanover County,Kure Beach,US,31.28,-76.15,33.99684,-77.90720999999998,North Carolina,North Carolina
Santa Barbara County,Isla Vista,US,33.26,-120.57,34.41333,-119.86097,California,California
Humboldt County,Westhaven-Moonstone,US,41.23,-123.82,41.04489,-124.10239,California,California
Onondaga County,Skaneateles,US,42.96,-76.45,42.94701,-76.4291,New York,New York
Jim Hogg County,Hebbronville,US,27.09,-98.76,27.30688,-98.68032,Texas,Texas
Morgan County,Coalfield,US,36.04,-84.4,36.02897,-84.42076,Tennessee,Tennessee
,Nakusp,CA,50.27,-117.37,50.24987,-117.80226,British Columbia,None
Douglas County,Canyonville,US,42.93,-123.22,42.92734,-123.28117,Oregon,Oregon
Bas-Saint-Laurent,Cabano,CA,48.0,-69.03,47.68065,-68.8781,Quebec,None
Sierra Mojada,Hercules,MX,27.98,-103.8,28.04306,-103.79111,Coahuila,None
Ramsey County,Devils Lake,US,48.0,-98.74,48.11278,-98.86512,North Dakota,North Dakota
Clay County,Rector,US,36.3,-90.28,36.26312,-90.2926,Arkansas,Arkansas
Harney County,Hines,US,43.76,-119.48,43.56404000000001,-119.08105,Oregon,Oregon
Butte County,Belle Fourche,US,44.88,-103.59,44.67137,-103.85215,South Dakota,South Dakota
,Alice Town,BS,25.0,-79.03,25.71667,-79.3,Bimini,None
Steuben County,Wayland,US,42.64,-77.57,42.56784,-77.58971,New York,New York
Marshall County,Arab,US,34.23,-86.43,34.31815,-86.49582,Alabama,Alabama
Lincoln County,Alamo,US,36.9,-115.26,37.36496,-115.16446,Nevada,Nevada
Dona Ana County,San Miguel,US,32.13,-106.91,32.15538,-106.735,New Mexico,New Mexico
Mesa County,Loma,US,39.57,-109.35,39.19581,-108.81316,Colorado,Colorado
Kittson County,Hallock,US,49.06,-97.03,48.77443,-96.94645,Minnesota,Minnesota
Dare County,Nags Head,US,36.58,-74.53,35.95739000000001,-75.62406,North Carolina,North Carolina
Los Angeles County,Malibu,US,33.56,-119.05,34.00501,-118.81009,California,California
Missoula County,Frenchtown,US,47.0,-114.15,47.01492,-114.22984,Montana,Montana
Campbell County,Wright,US,43.76,-106.0,43.74692,-105.47055,Wyoming,Wyoming
Motley County,Matador,US,34.07,-100.98,34.01202,-100.82208,Texas,Texas
,Creston,CA,48.77,-116.71,49.09987,-116.50211000000002,British Columbia,None
,Lumby,CA,49.97,-118.8,50.24979,-118.96904,British Columbia,None
Saint Louis County,Eveleth,US,47.26,-92.56,47.46243,-92.53991,Minnesota,Minnesota
Rockingham County,Fremont,US,43.0,-71.14,42.99092,-71.14256,New Hampshire,New Hampshire
,San Luis,MX,28.39,-115.22,28.43333,-113.75,Baja California,None
Blaine County,Sun Valley,US,44.07,-114.32,43.69713,-114.35172,Idaho,Idaho
Polk County,Grand Ronde,US,45.03,-123.73,45.06011,-123.60928,Oregon,Oregon
,Hamilton,BM,32.62,-66.94,32.2949,-64.78303000000001,Hamilton city,None
Linn County,Pleasanton,US,38.13,-94.57,38.17781,-94.71135,Kansas,Kansas
Monroe County,Key West,US,24.31,-82.23,24.5557,-81.78259,Florida,Florida
Santa Barbara County,Lompoc,US,30.75,-123.39,34.63915,-120.45794,California,California
Lassen County,Janesville,US,40.69,-119.9,40.29656,-120.52411,California,California
Lamadrid,Lamadrid,MX,26.55,-102.01,27.04944,-101.79389,Coahuila,None
Buffalo County,Kearney,US,40.78,-99.28,40.69946,-99.08148,Nebraska,Nebraska
Delaware County,Sidney,US,42.25,-75.39,42.3148,-75.39157,New York,New York
Campbell County,Wright,US,43.81,-106.06,43.74692,-105.47055,Wyoming,Wyoming
,Marathon,CA,48.6,-87.36,48.7501,-86.43321999999998,Ontario,None
Beaverhead County,Dillon,US,44.72,-112.81,45.21631,-112.63752,Montana,Montana
Runnels County,Winters,US,32.01,-100.0,31.95653,-99.96231,Texas,Texas
Barnes County,Valley City,US,47.11,-97.62,46.92331,-98.00315,North Dakota,North Dakota
Adair County,Greenfield,US,41.25,-94.49,41.30527,-94.46135,Iowa,Iowa
Suffolk County,Montauk,US,39.54,-71.26,41.03594,-71.95451,New York,New York
Allen Parish,Oberlin,US,30.83,-92.93,30.6202,-92.76265,Louisiana,Louisiana
Ocean County,Surf City,US,39.73,-74.14,39.66206,-74.16514000000002,New Jersey,New Jersey
Lake County,Lakeview,US,42.66,-120.64,42.18877,-120.34579,Oregon,Oregon
Dunn County,Menomonie,US,44.83,-92.03,44.87552,-91.91934,Wisconsin,Wisconsin
Aroostook County,Fort Kent,US,46.97,-68.4,47.25865,-68.58949,Maine,Maine
Santa Rosa County,Wallace,US,30.65,-87.25,30.67741,-87.17997,Florida,Florida
McLennan County,McGregor,US,31.39,-97.42,31.44406,-97.40918,Texas,Texas
Clearfield County,Curwensville,US,40.88,-78.58,40.97561,-78.52502,Pennsylvania,Pennsylvania
Oliver County,Center,US,47.17,-101.46,47.11638,-101.29959,North Dakota,North Dakota
Roscommon County,Roscommon,US,44.52,-84.49,44.49835,-84.59196999999998,Michigan,Michigan
Colfax County,Springer,US,36.47,-104.59,36.36114,-104.59527,New Mexico,New Mexico
New Hanover County,Kure Beach,US,33.11,-77.23,33.99684,-77.90720999999998,North Carolina,North Carolina
Faribault County,Blue Earth,US,43.52,-94.07,43.63746,-94.10218,Minnesota,Minnesota
City of Norton,Norton,US,36.98,-82.71,36.93343,-82.62905,Virginia,Virginia
Crook County,Moorcroft,US,44.11,-104.94,44.26331,-104.95025,Wyoming,Wyoming
San Fernando,El Barrancon del Tio Blas (El Barrancon),MX,24.21,-96.77,25.01556,-97.71694,Tamaulipas,None
,Bancroft,CA,45.0,-77.44,45.05752,-77.85701999999998,Ontario,None
,San Luis,MX,28.82,-113.54,28.43333,-113.75,Baja California,None
,Arthur's Town,BS,25.15,-74.97,24.6224,-75.67151,Cat Island,None
New Hanover County,Kure Beach,US,31.76,-76.05,33.99684,-77.90720999999998,North Carolina,North Carolina
,La Esperanza,CU,24.26,-84.51,22.77056,-83.73194000000002,Pinar del Rio,None
Humboldt County,Winnemucca,US,42.12,-117.49,40.97296,-117.73568,Nevada,Nevada
,Ojinaga,MX,30.15,-104.97,29.56689,-104.54487,Chihuahua,None
Southampton County,Courtland,US,36.85,-77.14,36.71626,-77.06801999999998,Virginia,Virginia
Burke County,Waynesboro,US,33.0,-82.18,33.08987,-82.01567,Georgia,Georgia
,Saint George,BM,35.66,-66.45,32.38167,-64.67806,Saint George,None
Park County,Cody,US,44.47,-109.23,44.52634000000001,-109.05653,Wyoming,Wyoming
,San Andros,BS,25.79,-78.32,25.06667,-78.05,North Andros,None
,Marsh Harbour,BS,27.37,-76.47,26.54124,-77.0636,Central Abaco,None
,Ciudad Insurgentes,MX,25.26,-113.44,25.26318,-111.77547,Baja California Sur,None
Latimer County,Wilburton,US,35.01,-95.17,34.91871,-95.30914,Oklahoma,Oklahoma
Coos County,Colebrook,US,44.98,-71.59,44.89449000000001,-71.49592,New Hampshire,New Hampshire
Brevard County,Melbourne Beach,US,28.06,-80.41,28.06835,-80.56033000000002,Florida,Florida
Roosevelt County,Wolf Point,US,48.05,-106.07,48.09057,-105.64056,Montana,Montana
,Cosala,MX,24.63,-106.79,24.41501,-106.69073,Sinaloa,None
Catron County,Reserve,US,33.58,-108.24,33.71311,-108.75784,New Mexico,New Mexico
Eureka County,Eureka,US,39.25,-116.26,39.51271,-115.96061,Nevada,Nevada
Hunucma,Sisal,MX,24.72,-92.65,21.167,-90.02532,Yucatan,None
Grenada County,Grenada,US,33.73,-90.02,33.769,-89.80842,Mississippi,Mississippi
Rosebud County,Lame Deer,US,45.66,-106.9,45.62305,-106.6667,Montana,Montana
Elk County,Howard,US,37.57,-96.09,37.47031,-96.26361,Kansas,Kansas
,Marsh Harbour,BS,28.6,-75.72,26.54124,-77.0636,Central Abaco,None
Morrill County,Bridgeport,US,41.76,-102.98,41.66525,-103.0991,Nebraska,Nebraska
Franklin County,Louisburg,US,36.12,-78.14,36.09904,-78.30111,North Carolina,North Carolina
Wasatch County,Heber,US,40.32,-111.29,40.5069,-111.41324,Utah,Utah
Carroll County,Georgetown,US,42.17,-89.88,42.13975,-89.82873000000002,Illinois,Illinois
Norton County,Norton,US,39.7,-99.76,39.83389,-99.89151,Kansas,Kansas
,Marsh Harbour,BS,28.2,-73.32,26.54124,-77.0636,Central Abaco,None
Capitale-Nationale,Beaupre,CA,47.18,-70.9,47.04428,-70.89529,Quebec,None
,Yarmouth,CA,41.09,-66.48,43.83345,-66.11556999999999,Nova Scotia,None
Mulege,Bahia Asuncion,MX,26.88,-116.05,27.14231,-114.29582,Baja California Sur,None
,Pemberton,CA,50.79,-123.24,50.31641,-122.80273,British Columbia,None
,Collingwood,CA,44.3,-80.11,44.4834,-80.21638,Ontario,None
Santa Barbara County,Lompoc,US,32.86,-123.78,34.63915,-120.45794,California,California
Eastland County,Ranger,US,32.53,-98.69,32.46985,-98.67895,Texas,Texas
Moffat County,Craig,US,40.54,-107.49,40.51525,-107.54645,Colorado,Colorado
Perry County,Marion,US,32.76,-87.22,32.63235,-87.31917,Alabama,Alabama
De Baca County,Fort Sumner,US,34.33,-104.84,34.47173,-104.24553,New Mexico,New Mexico
San Luis Rio Colorado,Nuevo Michoacan (Estacion Riito),MX,32.19,-114.88,32.16611,-114.96167,Sonora,None
Creek County,Bristow,US,35.74,-96.26,35.83063,-96.39112,Oklahoma,Oklahoma
,Tlahualilo de Zaragoza,MX,26.41,-103.17,26.10593,-103.44257,Durango,None
,Cockburn Town,TC,24.17,-70.78,21.46122,-71.14188,,None
Wood County,Lubeck,US,39.15,-81.68,39.23535,-81.63124,West Virginia,West Virginia
Marshall County,Marysville,US,39.75,-96.44,39.84111,-96.64724,Kansas,Kansas
Wichita County,Electra,US,34.11,-98.86,34.02926,-98.91896,Texas,Texas
Pinal County,San Manuel,US,32.48,-110.6,32.59979000000001,-110.63093,Arizona,Arizona
Abitibi-Temiscamingue,Temiscaming,CA,46.65,-79.26,46.72122,-79.09711999999998,Quebec,None
Valley County,Cascade,US,44.65,-115.83,44.51628,-116.0418,Idaho,Idaho
Lincoln County,Stanford,US,37.41,-84.7,37.53119,-84.66189,Kentucky,Kentucky
Stutsman County,Jamestown,US,47.1,-98.43,46.91054000000001,-98.70844,North Dakota,North Dakota
,Minas de Matahambre,CU,25.45,-86.76,22.5875,-83.945,Pinar del Rio,None
,Rio Lagartos,MX,25.79,-87.32,21.5967,-88.15773,Yucatan,None
,Rio Lagartos,MX,24.46,-89.05,21.5967,-88.15773,Yucatan,None
Greene County,Jefferson,US,42.04,-94.44,42.01526,-94.37747,Iowa,Iowa
St. Lawrence County,Massena,US,45.08,-74.88,44.9281,-74.89186,New York,New York
Dare County,Buxton,US,36.11,-71.23,35.26768,-75.54236999999998,North Carolina,North Carolina
Clark County,Dubois,US,43.83,-112.4,44.1763,-112.23082,Idaho,Idaho
Inyo County,Lone Pine,US,36.5,-118.12,36.60626,-118.06462,California,California
Muskegon County,Montague,US,43.48,-87.01,43.41668,-86.35701,Michigan,Michigan
Deuel County,Clear Lake,US,44.85,-96.62,44.7458,-96.68256,South Dakota,South Dakota
Santa Barbara County,Lompoc,US,30.68,-123.55,34.63915,-120.45794,California,California
San Luis Obispo County,Cambria,US,34.7,-123.0,35.56414,-121.08075,California,California
Sonoma County,Sea Ranch,US,38.62,-123.77,38.71519,-123.45445,California,California
,North Cowichan,CA,48.87,-123.74,48.84133,-123.68596,British Columbia,None
Santa Barbara County,Lompoc,US,27.23,-123.86,34.63915,-120.45794,California,California
Santa Barbara County,Lompoc,US,29.26,-123.12,34.63915,-120.45794,California,California
Santa Barbara County,Lompoc,US,29.63,-123.54,34.63915,-120.45794,California,California
Santa Barbara County,Lompoc,US,28.29,-123.35,34.63915,-120.45794,California,California
Mendocino County,Covelo,US,39.84,-123.18,39.79327,-123.24922,California,California
Lane County,Springfield,US,44.03,-123.02,44.04624,-123.02203,Oregon,Oregon
Santa Cruz County,Bonny Doon,US,36.35,-123.13,37.04162,-122.15052,California,California
Santa Barbara County,Lompoc,US,32.24,-123.78,34.63915,-120.45794,California,California
Santa Barbara County,Lompoc,US,29.87,-123.54,34.63915,-120.45794,California,California
Douglas County,Riddle,US,42.92,-123.37,42.95095,-123.36423,Oregon,Oregon
Sunshine Coast Regional District,Sechelt,CA,49.39,-123.81,49.47512,-123.75903,British Columbia,None
Siskiyou County,Happy Camp,US,41.73,-123.27,41.79275,-123.3808,California,California
